name, Voelligkeit_VSsoll, Voelligkeit_HS, LCB, Bugwulstlaenge, Voelligkeit_BW, WinkelDucktail, eval_cw, eval_CT,Anz
NeoOpt1106BW_20_des0001, 0.15442504, 0.33068404, 0.21348909, 5.8243144, 1.2164506, -3.4867918, 8.7239641e-05, 0.0018799668,1
NeoOpt1106BW_20_des0002, 0.19442504, 0.33068404, 0.21348909, 5.8243144, 1.2164506, -3.4867918, 0.00010152784, 0.0018960484,2
NeoOpt1106BW_20_des0003, 0.15442504, 0.42068404, 0.21348909, 5.8243144, 1.2164506, -3.4867918, 7.1410446e-05, 0.0019180216,3
NeoOpt1106BW_20_des0004, 0.15442504, 0.33068404, 0.23848909, 5.8243144, 1.2164506, -3.4867918, 0.00012183061, 0.0019030098,4
NeoOpt1106BW_20_des0005, 0.15442504, 0.33068404, 0.21348909, 6.0043144, 1.2164506, -3.4867918, 8.8142137e-05, 0.0018810778,5
NeoOpt1106BW_20_des0006, 0.15442504, 0.33068404, 0.21348909, 5.8243144, 1.3164506, -3.4867918, 0.00010609624, 0.001900919,6
NeoOpt1106BW_20_des0007, 0.15442504, 0.33068404, 0.21348909, 5.8243144, 1.2164506, -2.4867918, 9.6665732e-05, 0.0019248086,7
NeoOpt1106BW_20_des0008, 0.14380245, 0.36136808, 0.20397632, 5.8210147, 1.1818512, -4.2273344, 6.9945585e-05, 0.0018603246,8
NeoOpt1106BW_20_des0009, 0.1316794, 0.3, 0.19311986, 5.8172489, 1.1423646, -4.5408059, 7.9784659e-05, 0.0018290605,9
NeoOpt1106BW_20_des0010, 0.11344159, 0.3, 0.17678749, 5.8115836, 1.0829613, -4.6478259, 7.4072661e-05, 0.0018258855,10
NeoOpt1106BW_20_des0011, 0.11344159, 0.3, 0.1851969, 5.8115836, 1.0459679, -4.6478259, 6.6254783e-05, 0.0018133913,11
NeoOpt1106BW_20_des0012, 0.10087311, 0.3, 0.19690536, 5.8076794, 1.0225262, -5.4393486, 6.5795677e-05, 0.0017823961,12
NeoOpt1106BW_20_des0013, 0.12284628, 0.3, 0.19908776, 5.8043483, 0.97413017, -6.1146684, 5.7987229e-05, 0.0017552006,13
NeoOpt1106BW_20_des0014, 0.12354447, 0.3, 0.21006373, 5.7344019, 0.92371948, -6.7485558, 5.6273089e-05, 0.0017339865,14
NeoOpt1106BW_20_des0015, 0.12361324, 0.3, 0.21857202, 5.8489622, 0.88094998, -7.292784, 6.1819337e-05, 0.0017265098,15
NeoOpt1106BW_20_des0016, 0.11774804, 0.30852319, 0.20542701, 5.8183665, 0.89299883, -8.0987963, 5.9819671e-05, 0.0017245339,16
NeoOpt1106BW_20_des0017, 0.11600634, 0.3526813, 0.20366362, 5.8178255, 0.88822178, -8.1090166, 5.2571999e-05, 0.0017376376,17
NeoOpt1106BW_20_des0018, 0.13504565, 0.30535198, 0.2187952, 5.8071907, 0.95662386, -8.4410694, 7.1005976e-05, 0.0017311088,18
NeoOpt1106BW_20_des0019, 0.13550767, 0.30852319, 0.20107159, 5.818418, 0.87802835, -8.0883563, 6.2435742e-05, 0.0017277028,19
NeoOpt1106BW_20_des0020, 0.10204343, 0.3, 0.21238301, 5.7407581, 0.8258524, -8.4490904, 6.09811e-05, 0.0017177284,20
NeoOpt1106BW_20_des0021, 0.073856512, 0.3, 0.20664653, 5.8341243, 0.79542898, -8.7477122, 6.0729795e-05, 0.0017184948,21
NeoOpt1106BW_20_des0022, 0.093466671, 0.31887439, 0.20658373, 5.7085075, 0.84986168, -8.3206892, 5.7039197e-05, 0.0017246305,22
NeoOpt1106BW_20_des0023, 0.10798398, 0.3, 0.22084553, 5.6752757, 0.7422932, -8.6302067, 7.0116774e-05, 0.001722556,23
NeoOpt1106BW_20_des0024, 0.09921491, 0.3, 0.21893799, 5.7374664, 0.85451921, -8.7552575, 6.5433829e-05, 0.0017211045,24
NeoOpt1106BW_20_des0025, 0.098471422, 0.30278481, 0.21649257, 5.7481922, 0.82571023, -8.2914875, 6.0777515e-05, 0.0017178355,25
NeoOpt1106BW_20_des0026, 0.099599387, 0.3, 0.20878441, 5.7566088, 0.83223096, -7.9867879, 5.7498193e-05, 0.001717175,26
NeoOpt1106BW_20_des0027, 0.1016314, 0.3, 0.2106543, 5.7335311, 0.78799577, -7.8144162, 5.5883738e-05, 0.0017151062,27
NeoOpt1106BW_20_des0028, 0.099898208, 0.3, 0.21719396, 5.7114201, 0.75726712, -7.5494997, 6.2180145e-05, 0.0017201831,28
NeoOpt1106BW_20_des0029, 0.099772145, 0.31985172, 0.2102036, 5.7149399, 0.78924783, -7.8375861, 5.5452383e-05, 0.0017234192,29
NeoOpt1106BW_20_des0030, 0.11740447, 0.3, 0.20624204, 5.7374245, 0.77376821, -8.0209286, 5.6831483e-05, 0.001715314,30
NeoOpt1106BW_20_des0031, 0.096750523, 0.30328871, 0.20850396, 5.7609282, 0.77785696, -7.8881099, 5.4723805e-05, 0.0017148571,31
NeoOpt1106BW_20_des0032, 0.085252659, 0.3, 0.20507163, 5.7590357, 0.74183022, -8.0195883, 5.3313161e-05, 0.0017119939,32
NeoOpt1106BW_20_des0033, 0.083581606, 0.3, 0.20852561, 5.8262735, 0.71316777, -7.9331109, 5.2261363e-05, 0.0017095254,33
